english,darija,darija_ar
Maybe you should go to therapy with another psychiatrist.,ymken khaSSk tmchi t3alji 3nd chi Tbib nefsi akhor.,يمكن خاصّك تمشي تعالجي عند شي طبيب نفسي أخور. 
"Because now I feel, in your mind, things are different from what they should be to make this happen.","7it kan7ess, anna f dmaghk, l omor mkhtalfa 3la kifach khaSSha tkon bach ykhdm had l3ilaj.","حيت كانحسّ, أنّا ف دماغك, ل أُمور مختالفا علا كيفاش خاصّها تكون باش يخدم هاد لعيلاج. "
Hah--I've BEEN seeing another psychiatrist!,Hah-- rah kanmchi 3nd wa7d Tbib nfsi akhor!,هاه-- راه كانمشي عند واحد طبيب نفسي أخور! 
You didn't even know it!,ga3ma 3reftiha!,ڭاعما عرفتيها! 
You think you're so smart... playing with me all this time... I HATE you...,kay7sab lik rask dki... katl3b bia had lmodda kamla... kan kerhek...,كايحساب ليك راسك دكي... كاتلعب بيا هاد لمودّا كاملا... كان كرهك... 
I think we're going to end this meeting now.,kayban lia nsaliw had lli9a2 daba.,كايبان ليا نساليو هاد الليقاء دابا. 
"By the way, it's time for my next patient.","bl monasaba, ja lw9t dial lmriD jjay diali.","بل موناسابا, جا لوقت ديال لمريض الجاي ديالي. "
What about you?,o nta?,أُ نتا? 
"No not all, it looks very creepy!","lla walo, kayban hadchi kaykhle3!","اللا والو, كايبان هادشي كايخلع! "
Very much so.,bezzaf ga3.,بزّاف ڭاع. 
Do you have a compass?,wach 3ndk chi bawSala?,واش عندك شي باوصالا? 
We'll look on the map.,nchoufo fl khariTa.,نشوفو فل خاريطا. 
No I dont have a compass or a map.,lla ma3ndi la bawSala la khariTa.,اللا ماعندي لا باوصالا لا خاريطا. 
I could try my phone - but there is no reception.,njereb tilifoun - walakin makaynch rizo.,نجرب تيليفون - والاكين ماكاينش ريزو. 
Let's try going back the way we came,yallah n7awlo nrj3o mnin jina,يالّاه نحاولو نرجعو منين جينا 
I thought you were taking the compass...,7sab lia rah khditi m3ak lbawSala...,حساب ليا راه خديتي معاك لباوصالا... 
Does your phone have one?,wach tilifounk fih w7da?,واش تيليفونك فيه وحدا? 
"It's got GPS, it doesn't need a connection.","fih GPS, makay7tajch conneksion.","فيه ڭپص, ماكايحتاجش كونّكسيون. "
I've got the map.,3ndi lkhariTa.,عندي لخاريطا. 
"No, you said you were taking the compass.","lla, guelti ghadi takhd m3ak lbawSala.","اللا, ڭولتي غادي تاخد معاك لباوصالا. "
And the map.,o lkhariTa.,أُ لخاريطا. 
"We'll have to hurry, it's getting dark already","ghadi ykhSna nzerbo, bda kayTi7 Dlam","غادي يخصنا نزربو, بدا كايطيح ضلام "
Okay.,wakha.,واخا. 
Too bad.,lil assaf.,ليل أسّاف. 
We'll do as you said and try to retrace our steps.,ghadi ndiro kimma guelti o n7awlo nrj3o mnin jina.,غادي نديرو كيمّا ڭولتي أُ نحاولو نرجعو منين جينا. 
I've got a flashlight.,3ndi ppil.,عندي الپيل. 
"No, if you have the map we could see if there is a shorter route out of here.","lla, ila kant 3ndk lkhariTa an9dro nchofo wach kayna chi Tri9 9Ser tkherrejna men hna.","اللا, إلا كانت عندك لخاريطا أنقدرو نشوفو واش كاينا شي طريق قصر تخرّجنا من هنا. "
"It will take us hours to get back the way we came, in the dark, and through all that mud ...","ghadi ykhSona sway3 bach nrj3o mnin jina, f DDlam, o f wsT ga3 had lghiss ...","غادي يخصونا سوايع باش نرجعو منين جينا, ف الضلام, أُ ف وسط ڭاع هاد لغيسّ ... "
"Sure, with the rain from this morning, the ground is very muddy.","bessa7, m3a had chta dial had Sba7, lerD mghiyssa.","بسّاح, معا هاد شتا ديال هاد صباح, لرض مغييسّا. "
But without a compass it's hard to know which way to return even with the map.,walakin bla bawSala s3ib t3rf mnin trj3 wakha bl khariTa.,والاكين بلا باوصالا سعيب تعرف منين ترجع واخا بل خاريطا. 
"But since we're from the south, I think we'll get through this...","walakin melli 7na men ljanoub, kanDen ghadi ndowzo hadchi...","والاكين ملّي حنا من لجانوب, كانضن غادي ندووزو هادشي... "
Then we may be able to see the road or the village from the top.,o ghadi ymken tchouf Tri9 wla lvilaj men lfo9.,أُ غادي يمكن تشوف طريق ولا لڤيلاج من لفوق. 
Once we rach the road it will be easy.,ghir nwSlo Tri9 ghadi ykon hadchi sahel.,غير نوصلو طريق غادي يكون هادشي ساهل. 
That's a great idea.,hadi fikra momtaza.,هادي فيكرا مومتازا. 
Going up on that hill will give us the right visibility and the village will be lit up so we can spot him easily to go in the right direction.,ila Tl3na f had lhaDaba ghadi tweli 3ndna choufa meziana o l vilaj aykon mDowwi idan ghadi nchofoh b sohoula bach n3rfo l ittijah li anmchiw fih.,إلا طلعنا ف هاد لهاضابا غادي تولي عندنا شوفا مزيانا أُ ل ڤيلاج أيكون مضووّي إدان غادي نشوفوه ب سوهولا باش نعرفو ل إتّيجاه لي أنمشيو فيه. 
Let's go!,yallah nemchiw!,يالّاه نمشيو! 
If we find the rocks we should be in the right place,ila l9ina l7jer ghadi nkono flblaSa lmonassiba,إلا لقينا لحجر غادي نكونو فلبلاصا لموناسّيبا 
I don't know him.,ma kan3erfouch,ما كانعرفوش 
I'm not sure I want to throw up rocks.,mamt2ekkedch annani baghi nrmi l7jer.,مامتءكّدش أنّاني باغي نرمي لحجر. 
"But okay, let's go.","walakin wakha, yallah nmchiw.","والاكين واخا, يالّاه نمشيو. "
We're gonna make it.,ghadi n9Diw lgharad.,غادي نقضيو لغاراد. 
"I agree, throwing rocks around will get us nowhere.","mtaf9, zeffan bl7jer maghadi yddina l ta blaSa.","متافق, زفّان بلحجر ماغادي يدّينا ل تا بلاصا. "
We need to save our energy for the climb and the long walk down.,ghadi ykhSna n7tafDo 3la TTa9a dialna 3la 9bel Tel3a o nnezla.,غادي يخصنا نحتافضو علا الطاقا ديالنا علا قبل طلعا أُ النزلا. 
Absolutely.,b Tabi3t l7al.,ب طابيعت لحال. 
"Yes, you're right.","ayeh, 3ndek SSe7.","أيه, عندك الصح. "
Let's be careful.,yallah nreDo balna.,يالّاه نرضو بالنا. 
"But anyway, it's nice we almost got to the village.","walakin f jami3 l7alat, hadchi mezian 9errebna l villaj.","والاكين ف جاميع لحالات, هادشي مزيان قرّبنا ل ڤيلّاج. "
"You look a little worried, are you ok?","katban chwia fchkel, wach nta bikhir?","كاتبان شويا فشكل, واش نتا بيخير? "
Not good.,machi mezian.,ماشي مزيان. 
I don't like to fly at all on bad weather like today.,makay3jbnich nTir ga3 fach ykon ljow khayb b7al lyouma.,ماكايعجبنيش نطير ڭاع فاش يكون لجوو خايب بحال ليوما. 
It is difficult but you ve listened to all the instructions from the crew so you have done everything you can,rah s3iba walakin rah sm3ti l ga3 t3limat dial aTTa9am idan rak derti ga3 dakchi li f sTiTa3tek.,راه سعيبا والاكين راه سمعتي ل ڭاع تعليمات ديال أطّاقام إدان راك درتي ڭاع داكشي لي ف سطيطاعتك. 
Would distraction help?,wach y9der atterfih y3awn?,واش يقدر أتّرفيه يعاون? 
Instructions from the crew don't help much when you're afraid of flying!,atta3limat dial aTTa9am makat3awnch bezzaf fach katkon khayf TTir!,أتّاعليمات ديال أطّاقام ماكاتعاونش بزّاف فاش كاتكون خايف الطير! 
They can't do anything about the turbulence!,ma3ndhom maydiro l idTirabat!,ماعندهوم مايديرو ل إدطيرابات! 
I know it is difficult for you as fear and logic don't always go hand in hand,3reft annaha s3iba b nisba lik 7it lkhl3a o lojik makaytjm3och 3adatan,عرفت أنّاها سعيبا ب نيسبا ليك حيت لخلعا أُ لوجيك ماكايتجمعوش عاداتان 
Would you like to play a card game to take your mind off it all,tbghi tl3eb alkarta bach matb9ach tfekker f hadchi?,تبغي تلعب ألكارتا باش ماتبقاش تفكّر ف هادشي? 
"Yes, actually the logic would want us to get in the head that the plane is the safest transport.","ayeh, lojik assara7a bghatna ndkhlo l rasna anna aTTiyara hia aktar wasila dial anna9l aman.","أيه, لوجيك أسّاراحا بغاتنا ندخلو ل راسنا أنّا أطّييارا هيا أكتار واسيلا ديال أنّاقل أمان. "
I'll play a card game.,ghadi nl3b alkarta.,غادي نلعب ألكارتا. 
That'll keep my mind occupied.,hadchi ghadi ykheli balk melhi.,هادشي غادي يخلي بالك ملهي. 
What games do you like?,achmen l3bat 3zaz 3lik?,أشمن لعبات عزاز عليك? 
Poker!,Poker!,پوكر! 
Or why don't you suggest something,wla 3lach mat9tare7ch chi 7aja,ولا علاش ماتقتارحش شي حاجا 
"Ah, I'll play poker.","Ah, nl3b poker.","أه, نلعب پوكر. "
It's the only game I know!,hadi hia ll3ba lwa7ida li kan3rf,هادي هيا اللعبا لواحيدا لي كانعرف 
"But tell me, you don't seem very stressed.","walakin goul lia, makatbanch lia mstrissi bezzaf.","والاكين ڭول ليا, ماكاتبانش ليا مستريسّي بزّاف. "
I ll get my cards out in a minute,ghadi njbed lkarTa diali men daba da9i9a,غادي نجبد لكارطا ديالي من دابا داقيقا 
I fly quite often and just try not to think about the process too much,kanrkeb f Tyara bezzaf ghir 7awl matfekertch bezzaf fl ms2ala,كانركب ف طيارا بزّاف غير حاول ماتفكرتش بزّاف فل مسألا 
I think the main thing is that it is difficult not to be completely in control,kanDen annaho aham 7aja hia annaho s3ib matkounch kat7ekkem f kolchi,كانضن أنّاهو أهام حاجا هيا أنّاهو سعيب ماتكونش كاتحكّم ف كولشي 
It is similar to having an operation,b7al ila 3ndk chi 3amalia,بحال إلا عندك شي عاماليا 
You just have to trust the anaesthetist,mat9der illa annak tti9 fl bennaj,ماتقدر إلّا أنّاك التيق فل بنّاج 
"Yes, I do.","ayeh, kayna.","أيه, كاينا. "
The upside with an operation is that you sleep during!,lli mezian fl3amalia howa annak katkon na3es fiha!,اللي مزيان فلعاماليا هووا أنّاك كاتكون ناعس فيها! 
Do you travel for your work or a tourist?,nta msafer 3la 9bel lkhdma dialk wla ghir tourist?,نتا مسافر علا قبل لخدما ديالك ولا غير توريست? 
After our game maybe we should both have a drink and try to sleep,mora TTer7 dial lkarta kayban lia nmchiw ncherbo chi 7aja o n7awlo nne3so,مورا الطرح ديال لكارتا كايبان ليا نمشيو نشربو شي حاجا أُ نحاولو النعسو 
I ll get the cards now,hani anmchi njib lkarta daba,هاني أنمشي نجيب لكارتا دابا 
"Maybe we should just sleep, bye for now","wla ghir nne3so o safi, thella f rask daba","ولا غير النعسو أُ سافي, تهلّا ف راسك دابا "
"Yes, a good cup of coffee will do me great.","ayeh, chi kwiyess dial l9hwa ghadi ynf3ni mezian.","أيه, شي كوييسّ ديال لقهوا غادي ينفعني مزيان. "
"Come on, let's start the game.",yallah nbdaw TTer7.,يالّاه نبداو الطرح. 
"Fatima, please let me worry about it, I want to rest.","FaTima, 3afak khelini nfekker fih, baghi nrta7.","فاطيما, عافاك خليني نفكّر فيه, باغي نرتاح. "
You're always resting.,nta dima mrta7.,نتا ديما مرتاح. 
Let's go for a walk and climb that hill over there.,yallah nemchiw nDerbo chi dwira o nTl3o f dik lkodia lli temma.,يالّاه نمشيو نضربو شي دويرا أُ نطلعو ف ديك لكوديا اللي تمّا. 
That will give you something to rest for.,hadchi ghadi y3tik b3da 3layach tsara7.,هادشي غادي يعتيك بعدا علاياش تساراح. 
"It's very nice, you should try","zwin bezzaf, khassk tjerreb","زوين بزّاف, خاسّك تجرّب "
I can't just lie by the pool.,man9derch nb9a gals 7da la pissin.,مانقدرش نبقا ڭالس حدا لا پيسّين. 
Don't you have a book or crossword puzzles?,ma3ndkch chi ktab wla chi chabaka?,ماعندكش شي كتاب ولا شي شاباكا? 
"I can give you a comic book, I've brought a comic book.","n9der n3tik ktab dial arrosoum, jebt m3aya ktab dial arrosoum","نقدر نعتيك كتاب ديال أرّوسوم, جبت معايا كتاب ديال أرّوسوم "
I don't like comics.,makay3jbonich lktouba dial arrossoum.,ماكايعجبونيش لكتوبا ديال أرّوسّوم. 
I have a suggestion.,3ndi 9tira7.,عندي قتيراح. 
If we go for the walk now I will lie quietly by the pool for 30 minutes afterwards.,ila mchina ntmechaw daba ghadi ngless b houdou2 f jenb la pissine lmoddat neS sa3a men b3d.,إلا مشينا نتمشاو دابا غادي نڭلسّ ب هودوء ف جنب لا پيسّين لمودّات نص ساعا من بعد. 
I won't say a word.,maghadi ngoul 7ta kelma.,ماغادي نڭول حتا كلما. 
I won't bother you at all.,maghadich nSed3ek ga3.,ماغاديش نصدعك ڭاع. 
Are you kidding?,wach katfella?,واش كاتفلّا? 
