achno kat9tare7?,What do you suggest?,أشنو كاتقتارح؟
nmchiw nTl3o lfo9 dial jbel o nsowlo l7akim dial lghaba achno ban lih khaSna ndiro.,We could walk up that mountain and ask the wise man of the woods what he thinks we should do.,نمشيو نطلعو الفوق ديال جبل و نسولو الحكيم ديال الغابة أشنو بان ليه خاصنا نديرو.
chkonahowa l7akim dial lghaba?,Who's the wise man of the woods?,شكوناهوا الحكيم ديال الغابة؟
mo7al wach kayn aSlan walakin 3la l a9al ankouno fo9 jbel kan9elbo 3lih blaSt manb9aw kantna9cho.,Well he probably doesn't exist but at least we would be up a mountain looking for him instead of having this stupid argument.,محال واش كاين أصلان ولكن على الأقل أنكونو فوق جبل كانقلبو عليه بلاصت منبقاو كانتناقشو.
ndiroha!,Let's do this.,نديروها!
chokran annak sm3ti lia merra w7da!,Thank you for listening to me for once!,شكران أنك سمعتي ليا مرة وحدة!
"7biba, 3id miladek men daba chehrayn, khaSna ndiro chi 7fla, ach ban lik?","Honey, it's your birthday in exactly two months, we have to throw a party, what do you think?",حبيبة، عيد ميلادك من دابا شهرين، خاصنا نديرو شي حفلا، أش بان ليك؟
wow fikra ra2i3a.,Wow great idea.,واو فكرة رائعة.
ndiroha f ddar?,Shall we have it at home?,نديروها ف الدار؟
ila bghiti!,If you want!,إيلا بغيتي!
ch7al dial nnass kaDen annaho n3rDo 3lihom?,How many people do you think we can invite?,شحال ديال الناس كادن أنهو نعرضو عليهم؟
"makrehtch ndiro chi glissa khaSSa, ghir S7abna l9rab.","Well I would quite like an intimate gathering, just our close friends.",ماكرهتش نديرو شي قليسة خاصة، غير صحابنا القراب.
"walakin rah noubtek bach tkhtari, rah 3id miladek, f nihayat lmaTaf!","But it's your turn to choose, it's your birthday, after all!",ولكن راه نوبتك باش تختاري، راه عيد ميلادك، في نهاية المطاف!
wach nta 8na bo7dk,are you here alone,واش نتا غنا بوحدك؟
wach momkin njib sa7bi?,Can I bring my friend?,واش ممكن نجيب صاحبي؟
momkin ikon rkheS?,Can it be cheaper?,ممكن يكون رخيص؟
momkin t3Tina l menu 3afak,Can we have a menu please,ممكن تعطينا المنيو عافاك؟
wakha tchedd hadi?,Can you hold this for me?,واخا تشدد هادي؟
3ndek chi drari?,Do you have any children?,عندك شي دراري؟
wach 3arf ch7al kayswa?,Do you know how much it costs?,واش عارف شحال كايسوا؟
wach fayt kliti fdik restora,Have you eaten at that restaurant?,واش فيت كليتي فديك ريستورا؟
wach kliti?,Have you eaten yet?,واش كليتي؟
howa 3ziz 3lih l3aSir walakin makay7mlch l7lib,He likes juice but he doesn't like milk,هو عزيز عليه العصير ولكن مكايحملش الحليب.
hahia chlaDa dyalk,Here is your salad,هاهيا شلاضة ديالك.
hahia l commande dyalk,Here's your order,هاهيا الكوموند ديالك.
kijak lmada9?,How does it taste?,كيجاك المذاق؟
ch7al dyal nnas?,How many people?,شحال ديال الناس؟
bghit chi Tbla 7da chrjem,I'd like a table near the window,بغيت شي طبلة حدا الشرجم.
bghit ndowwer l mirikan,I'd like to call the United States,بغيت ندور ل ميريكان.
maknch temma,I haven't been there.,مكانش تما.
makmmeltch lmakla.,I haven't finished eating.,ماكملتش الماكلة.
3jbni,I like it,عجبني.
daba ndowwer lik.,I'll give you a call.,دابا ندور ليك.
ghanakhod wahd kas dyal atay 3afak,I'll have a cup of tea please,غاناخد واحد كاس ديال الأتاي عافاك.
ghanakhod wahd kas dyal lma 3afak,I'll have a glass of water please,غاناخد واحد كاس ديال الما عافاك.
ana mn agadir,I'm from Agadir,أنا من أكادير.
hani mchit nn3es,I'm going to bed,هاني مشيت ننعس.
yalah 3ndi 5 drahem,I only have 5 dirhams,ياله عندي خمسة دراهم.
kayballia khssni nchouf chi Tbib,I think I need to see a doctor,كيبالي خاصني نشوف شي طبيب.
liom 25 ghocht,It's August 25th,اليوم 25 غشت.
l9ess kan bnin,The food was delicious,القص كان بنين.
rah kayn chi tffa7at f ttllaja,There are some apples in the refrigerator,راه كاين شي تفاحات ف التلاجة.
"kayna wahd resTora lhih, walakin makanDench zwina","There's a restaurant over there, but I don't think it's very good",كاينة واحد ريستورا لهيه، ولكن ماكاندينش زوينة.
ghanakhdo joj kisat tlma laykhellik,We'll have two glasses of water please,غاناخدو جوج كيسان ديال الما لايخليك.
ach kat9tar7?,What do you recommend?,أش كاتقتارح؟
ach bghiti tchreb?,What would you like to drink?,أش بغيتي تشرب؟
achno bghiti takol?,What would you like to eat?,أشنو بغيتي تاكل؟
achnahoa ATM?,Where is an ATM?,أشناهوا ATM؟
achmen wahd?,Which one?,أشمن واحد؟
wakha tgollih iji l8na?,Would you ask him to come here?,واخا تقوليه يجي لعنا؟
bghiti 98wa ola atay?,Would you like coffee or tea?,بغيتي قهوة ولا أتاي؟
bghiti chi haja tchrebha?,Would you like something to drink?,بغيتي شي حاجة تشربها؟
bghiti chwia tlma?,Would you like some water?,بغيتي شوية ديال الما؟
bghiti tmcha chwia?,Would you like to go for a walk?,بغيتي تمشا شوية؟
bghiti tferrej f tlfaza?,Would you like to watch TV?,بغيتي تفرج ف التلفازة؟
wach nta mirikani?,Are you American?,واش نتا ميريكاني؟
wach ghatji had l3chia?,Are you coming this evening?,واش غاتجي هاد العشية؟
wach msali had llila?,Are you free tonight?,واش مسالي هاد الليلة؟
wach ghadi takhod Tyyara ola tran?,Are you going to take a plane or train?,واش غادي تاخد طيارة ولا تران؟
fik jjou3?,Are you hungry?,فيك الجوع؟
khddam ghdda?,Are you working Tomorrow?,خدام غدا؟
lkhdma mzyana,Business is good,الخدمة مزيانة؟
wach Ta7 ttlj lbar7?,Did it snow yesterday?,واش طاحت الثلج البارح؟
wach wSlek l email dyali?,Did you get my email?,واش وصلك الإيميل ديالي؟
wach khditi ddwa dyalk?,Did you take your medicine?,واش خديتي الدوا ديالك؟
wach kat7ess brask 7sen?,Do you feel better?,واش كاتحس براسك حسن؟
wach katmchi l Ourika bzzaf?,Do you go to Ourika often?,واش كاتمشي لأوريكا بزاف؟
3ndk chi whda khra?,Do you have another one?,عندك شي وحدة أخرى؟
3jbk l7al 8na?,Do you like it here?,عجبك الحال عنا؟
3jbek lktab?,Do you like the book?,عجبك الكتاب؟
yakma khassak chi haja?,Do you need anything?,ياكما خاصك شي حاجة؟
katl3b chi ryaDa?,Do you play any sports?,كاتلعب شي رياضة؟
wach kat9ra l anglais?,Do you study English?,واش كاتقرا الإنجليزية؟
bghiti tji m3aya?,Do you want to come with me?,بغيتي تجي معايا؟
bghiti tmchi m3aya?,Do you want to go with me?,بغيتي تمشي معايا؟
sm7 lia.,Excuse me.,سمح ليا.
dwwer lia.,Give me a call.,دور ليا.
wach kan khouk f Paris?,Has your brother been to Paris?,واش كان خوك في باريس؟
wach tla9aw m3aha b3da?,Have they met her yet?,واش تلاقاو معاها بعدا؟
wach drti hadchi 9bel?,Have you done this before?,واش درتي هادشي قبل؟
ch7al hada bach nta 8na?,How long have you been here?,شحال هادا باش نتا عنا؟
ch7al hada bach nta f 9Sbat tadla?,How long have you been in Qasbat tadla?,شحال هادا باش نتا في قصبة تادلة؟
ch7al tlwe9t 3chti 8na?,How long have you lived here?,شحال تلوحت عشتي عنا؟
ch7al dyal ddrari 3ndek?,How many children do you have?,شحال ديال الدراري عندك؟
ch7al mn logha kat8Der?,How many languages do you speak?,شحال من لغة كاتحضر؟
ch7al t nnas 3ndek f 3a2iltek?,How many people do you have in your family?,شحال ت ناس عندك في عائلتك؟
ch7al bghiti?,How much would you like?,شحال بغيتي؟
ch7al f 3omrek?,How old are you?,شحال في عمرك؟
chrit trikko lbar7,I bought a shirt yesterday,شريت تريكو البارح
makan7essch mzyan,I don't feel well,ماكانحسش مزيان
iddi kat3Tini Sda3,I have pain in my arm,يدي كاتعطيني صداع
khssni nSbben 7wayji,I have to wash my clothes,خاصني نصبن حوايجي
3ndi joj khwatat.,I have two sisters.,عندي جوج خواتات.
daba ngollih rah dowwerti,I'll tell him you called,دابا نقوليه راه دورتي
3ndi 32,I'm 32,عندي 32
ana mghribi,I'm Moroccan,أنا مغربي
ana mrrakchi,I'm Marrakchi,أنا مراكشي
ana mn Bengrir,I'm from Bengrir,أنا من بن گرير
"ana mzyan, onta?","I'm fine, and you?",أنا مزيان، ونتا؟
ana makhayfch.,I'm not afraid.,أنا ماخايفش.
ana mriD,I'm sick,أنا مريض
kan39el,I remember,كانعقل
kanhder chwia bl anglais,I speak a little English,كانهدر شوية بالإنجليزية
wach darkom b7al hadi?,Is your house like this one?,واش داركم بحال هادي؟
wach rajlek tahoa mn Khounifra?,Is your husband also from Khounifra?,واش رجلك تاهوا من خنيفرة؟
maghalich bzzaf.,It's not very expensive.,ماقاليش بزاف.
knt temma.,I've been there.,كنت تما.
yallah n9smo,Let's share.,يالله نقسمو
benti raha 8na.,My daughter is here.,بنتي راها عنا.
lwalid kan 8na.,My father has been there.,الواليد كان عنا.
lwalid mo7ami,My father is a lawyer,الواليد محامي
jedda tweffat l3am lli fat,My grandmother passed away last year,جدة توفت العام للي فات
smiti Laarbi,My name is Laarbi,سميتي العربي
wldi,My son,ولدي
wldi kay9ra l'informatique,My son studies computer science,ولدي كايقرا الإنفورماتيك
"lla, hadi lmrra llowwla.","No, this is the first time.",لا، هادي المرة الأولى.
wladna fl mirikan.,Our children are in America.,ولادنا في أمريكا.
hia khabira,She's an expert,هي خبيرة
hia kber menni,She's older than me,هي كبر مني
had tomobil katchbeh l tomobilti,That car is similar to my car,هاد توموبيل كاتشبه لتوموبيلتي
hahia lwalida.,This is my mother.,هاهيا الواليدة.
hadi awwal merra kanji l8na.,This is the first time I've been here.,هادي أول مرة كانجي عنا.
3ndna joj drari o bnt.,We have two boys and one girl.,عندنا جوج دراري و بنت.
achno ghadi ddir had llila?,What are you going to do tonight?,اشنو غادي دير هاد لليلة؟
achnahoma l8iwayat dyalk?,What are your hobbies?,اشناهوما لهوايات ديالك؟
ach kat9ra?,What do you study?,اش كتقرا؟
achno baghi ddir?,What do you want to do?,اشنو باغي دير؟
achmen mdrasa lach katmchi?,What school did you go to?,اشمن مدرسة لاش كتمشي؟
achnahoa a7san film 3ndk?,What's your favorite movie?,اشناهوا احسن فلم عندك؟
achno knyytek?,What's your last name?,اشنو كنيتك؟
finahoma ttrikkowat?,Where are the t-shirts?,فينهوما التريكوات؟
fin mchiti?,Where did you go?,فين مشيتي؟
fin t3llmti l anglais?,Where did you learn English?,فين تعلمتي الانجليزية؟
fin knti khddam 9bel matkhdem 8na?,Where did you work before you worked here?,فين كنتي خدام قبل ماتخدم هنا؟
fin saken?,Where do you live?,فين ساكن؟
fin knti?,Where were you?,فين كنتي؟
chkon sift had rrisala?,Who sent this letter?,شكون صيفت هاد الرسالة؟
wach wakha tchri hada?,Would you like to buy this?,واش واخا تشري هادا؟
bntek,Your daughter,بنتك
nta dka mnno.,You're smarter than him.,نتا دكا منو.
kathder l anglais mzyan.,You speak English very well.,كتهدر الانجليزية مزيان.
fayt chayf had l film?,Have you seen this movie?,فيت شايف هاد الفيلم؟
gallik 3ziz 3lik tferrej fl aflam,He said you like to watch movies,گالك عزيز عليك تفرج فالافلام
wach l banka b3ida?,Is the bank far?,واش البنكة بعيدة؟
achno kaydiro nnas 3adatan f SSif f rrbaT?,What do people usually do in the summer in Rabat?,اشنو كيديرو الناس عادتان ف صيف ف الرباط؟
achmn nou3 tlmosi9a kay3jbek?,What kind of music do you like?,اشمن نوع الموسيقى كيعجبك؟
achnahia lmakla lmofDDala 3ndk?,What's your favorite food?,اشناهيا الماكلة المفضلة عندك؟
imta ghaybda lfilm?,What time does the movie start?,امتا غايبدا الفيلم؟
chkon kan l oustad dyalk?,Who was your teacher?,شكون كان الاستاد ديالك؟
bghiti tDreb chi 3cha m3aya?,Would you like to have dinner with me?,بغيتي تضرب شي عشا معايا؟
wakha nkhddem tilifonek?,Can I use your phone?,واخا نخدم تيليفونك؟
3ndk nnmra dyal chi taxi?,Do you have the number for a taxi?,عندك النمرة ديال شي طاكسي؟
wach kat3rfha?,Do you know her?,واش كتعرفها؟
wach kat3ref fin kayna?,Do you know where she is?,واش كتعرف فين كاينا؟
wach katl3eb l basket?,Do you play basketball?,واش كتلعب الباسكيت؟
"3mmerha, laykhellik.","Fill it up, please.",عمرها، الله يخليك.
